ТЭА/КК Р1А,ТЭА/КК Р1В,донор/КК Р1А,донор/КК З1В,нефрас R1A,нефрас R1B,водород R1A,водород R1B,Н2/ПП Р1А,Н2/ПП Р1В,пропилен R1A,пропилен R1B,K/ПП R1A,K/ПП R1B,давление R1A,температура R1A,давление R1B,температура R1B,Произв
0.108891723,0.107231177,0.012849449,0.012656501,5986.264329,5892.66743,0.220307966,0.158568168,3.50E-05,2.52E-05,6300.808164,6293.189146,0.031594482,0.031766814,7.704606964,70.08087158,7.691061332,70.05317688,11284.52391
0.107473638,0.106501076,0.012685536,0.012575853,5985.351278,5908.190651,0.233499186,0.168321933,3.71E-05,2.68E-05,6299.5019,6291.892611,0.031920323,0.032007463,7.632296298,70.28427124,7.621076286,70.226415,11254.98169
0.105624109,0.105818925,0.012464458,0.0124953,5987.343327,5959.944525,0.236281014,0.17118131,3.75E-05,2.72E-05,6300.672205,6292.957263,0.032233624,0.032236111,7.572650991,71.25012716,7.507378362,70.49044291,11270.11834
0.105239672,0.104906224,0.01241913,0.012378372,5988.447487,5972.385974,0.240312114,0.171881489,3.81E-05,2.73E-05,6300.682182,6291.814591,0.032552802,0.032476071,7.41185015,71.11579895,7.38677366,69.78037516,11233.03241
0.108525575,0.10748357,0.012811269,0.012685476,5982.454734,5967.273338,0.245642066,0.173032267,3.90E-05,2.75E-05,6299.302842,6292.788051,0.03126979,0.031703487,7.331597769,69.76816813,7.461472732,70.05615234,11248.54597
0.113135519,0.110123358,0.013349156,0.012993032,5985.385876,5974.417301,0.245701672,0.173049094,3.90E-05,2.75E-05,6300.018868,6291.661648,0.029976244,0.030941464,7.387250839,70.01757304,7.427455227,70.06134033,11265.85163
0.11855317,0.113026202,0.013991976,0.013313482,5987.440696,5971.792318,0.242855376,0.172922735,3.85E-05,2.75E-05,6301.265403,6292.215358,0.028680576,0.03017111,7.353130482,70.00923157,7.36946312,70.10935465,11267.57278
0.11978824,0.114128794,0.014129482,0.013474648,5980.546973,5982.104793,0.24058499,0.171852155,3.82E-05,2.73E-05,6298.440615,6293.305147,0.028607023,0.029876036,7.444870265,69.88115946,7.292446083,70.1352946,11268.72633
0.120697122,0.115332351,0.014243467,0.013634391,5984.98218,5982.182231,0.240705541,0.171840091,3.82E-05,2.73E-05,6300.425264,6291.987594,0.028511623,0.029592382,7.534515365,70.08132935,7.221265743,70.09377797,11292.87677
0.120511665,0.116631038,0.014225905,0.013767736,5985.777417,5980.69903,0.240671666,0.171821646,3.82E-05,2.73E-05,6300.218719,6292.67817,0.028426166,0.029299256,7.502365434,70.05934397,7.16411461,70.0978597,11266.18603
