ТЭА R1A,ТЭА R1B,донор R1A,донор R1B,нефрас R1A,нефрас R1B,водород R1A,водород R1B,пропилен R1A,пропилен R1B,давление R1A,температура R1A,давление R1B,температура R1B,катализатор R1A,катализатор R1B,производительность
26.34630127,28.49406471,4.613720846,4.979452324,5876.801025,5936.513428,0.244425097,0.176251738,6250.007227,6249.658838,6.859408998,69.99755859,6.937820864,69.95259603,0.226192247,0.234202304,11207.10559
26.09152088,28.42948742,4.565064335,4.974814653,5874.321533,5935.998877,0.24367011,0.176039441,6251.311816,6249.214209,6.860623121,69.99267578,6.947822475,70.0177002,0.226305032,0.234193015,11229.366
25.97949734,28.35765495,4.547860956,4.962282991,5875.764307,5934.466748,0.243213785,0.176207727,6250.340039,6249.584473,6.862503338,70.01342773,6.947537947,70.04516602,0.226417816,0.234183726,11193.91503
25.94830494,28.22550125,4.542718363,4.944625473,5874.547998,5938.551709,0.242539003,0.176213466,6247.783643,6249.224658,6.859290552,69.99816895,6.943139124,70.02990723,0.226530601,0.234174437,11223.79829
25.92652206,28.16747265,4.535922337,4.935451841,5878.123193,5938.242139,0.242035539,0.175915502,6248.624072,6248.691602,6.859892941,69.97619629,6.941610765,70.05004883,0.226643385,0.234165148,11246.47177
25.87926083,28.2327898,4.5292768,4.940252304,5877.177051,5936.708154,0.241620813,0.176121861,6248.077686,6248.829443,6.863592625,69.99633789,6.943839169,70.05065918,0.22675617,0.234155858,11205.35134
26.11495686,28.43150387,4.565441847,4.969616604,5874.978271,5936.140039,0.241514502,0.176079275,6251.045752,6249.949512,6.862185192,70.01831055,6.934816647,70.01708984,0.226868954,0.234146569,11187.11029
26.29694309,28.40384159,4.602335358,4.969612074,5868.850488,5938.043896,0.241355881,0.175918616,6249.976172,6251.076123,6.866326523,70.0189209,6.933849287,69.98901367,0.226981739,0.23413728,11231.25939
26.34677124,28.5047224,4.615986443,4.986954021,5875.288965,5940.864258,0.241408527,0.175813879,6253.049658,6251.473828,6.858899927,70.03173828,6.932966805,69.99389648,0.227094523,0.234127991,11180.37944
26.30923595,28.47718449,4.604270697,4.978777456,5878.487256,5939.081787,0.2407548,0.175519247,6250.812842,6246.340527,6.850405741,69.99328613,6.929982233,70.0012207,0.227116896,0.234077389,11224.54188
26.21841488,28.43672218,4.588255215,4.979191017,5867.76875,5937.517334,0.24009254,0.17561519,6247.628027,6250.720947,6.85456605,69.97833252,6.926063299,70.01464844,0.227139269,0.234026788,11238.60619
26.15098972,28.41188221,4.5765172,4.974460125,5877.514111,5936.754199,0.239788765,0.175549275,6252.715918,6251.364014,6.848411131,69.97436523,6.921704483,70,0.227161641,0.233976186,11205.34003
26.11827965,28.54347878,4.568932247,4.992013073,5869.936377,5928.262451,0.239126003,0.175552292,6252.258447,6251.460352,6.856087446,69.99694824,6.919457722,70.00427246,0.227184014,0.233925585,11201.3617
26.05907955,28.64458714,4.562164545,5.011034918,5877.995068,5932.303711,0.238682573,0.175522822,6250.081445,6249.240527,6.852661371,69.98962402,6.916121531,70.01831055,0.227206387,0.233874983,11236.63851
26.06435261,28.62012081,4.560218859,5.017325449,5876.795459,5933.683887,0.238115647,0.175407489,6248.349561,6249.247314,6.852955961,70.00366211,6.918103886,69.98046875,0.22722876,0.233824382,11153.43769
26.31633854,28.52479687,4.602771187,4.994382429,5875.985498,5938.471924,0.23789987,0.17516997,6247.185303,6248.117188,6.852316189,69.99328613,6.91225996,70.02258301,0.227251133,0.23377378,11155.95433
