ТЭА R1A,ТЭА R1B,ТЭА/КК Р1А,ТЭА/КК Р1В,донор R1A,донор R1B,донор/КК Р1А,донор/КК З1В,нефрас R1A,нефрас R1B,ПП/нр Р1А,ПП/нр Р1В,водород R1A,водород R1B,Н2/ПП Р1А,Н2/ПП Р1В,пропилен R1A,пропилен R1B,К R1A,К R1B,давление R1A,давление R1B,Произв
28.12989655,28.26689215,0.162675099,0.16949542,3.93872934,3.957749742,0.022777659,0.023731666,5935.283667,5930.185608,1.052752181,1.053720354,0.268602584,0.199867349,4.3e-05,3.2e-05,6248.382825,6248.757275,172.9207275,166.7708313,7.747450793,7.604410326,11143.617
28.05898471,27.96455169,0.181194522,0.192191479,3.928215432,3.911873573,0.025366959,0.026885064,5928.432471,5913.409802,1.054367547,1.056609189,0.268777382,0.199951479,4.3e-05,3.2e-05,6250.746802,6248.163135,154.8555908,145.503598,7.788809979,7.740994394,11137.3183
27.94195962,27.9919158,0.169515706,0.172263126,3.914462036,3.916716129,0.023747898,0.024103594,5937.193994,5938.576428,1.052512048,1.052283724,0.268682112,0.19989485,4.3e-05,3.2e-05,6248.968213,6249.067322,164.8340454,162.4951111,7.825642145,7.854708958,11126.32511
27.96811261,27.99338193,0.159989203,0.15596361,3.91411019,3.91433441,0.022390334,0.021808502,5937.629846,5935.718103,1.052768772,1.052894433,0.26880217,0.200014675,4.3e-05,3.2e-05,6250.951282,6249.684546,174.8125,179.4866241,7.842145336,7.913798976,11135.61061
27.89685235,28.02165384,0.150964382,0.142619704,3.904241961,3.917025113,0.021127885,0.019936188,5935.126978,5938.29248,1.052858825,1.052589299,0.268716394,0.200057803,4.3e-05,3.2e-05,6248.850818,6250.583118,184.7909546,196.4781372,7.898306143,7.916494215,11131.51405
28.2487884,27.99117188,0.152703937,0.142082998,3.953805625,3.917107362,0.021373012,0.01988321,5938.297974,5940.276648,1.052547103,1.052124689,0.268729237,0.200023604,4.3e-05,3.2e-05,6250.33833,6249.911719,184.9905701,197.00578,7.915196943,7.882368827,11130.63061
27.99578052,27.9995502,0.151173133,0.141745887,3.923320055,3.922902304,0.021185356,0.019859436,5937.083887,5938.493848,1.052661594,1.052380239,0.268645042,0.199877507,4.3e-05,3.2e-05,6249.740186,6249.553577,185.1901855,197.5334229,7.901012993,7.854493856,11137.23021
27.78839455,27.9828011,0.149891711,0.141283705,3.890442371,3.922167319,0.020985202,0.019802818,5936.331592,5939.877002,1.052796298,1.052403659,0.268774891,0.200116422,4.3e-05,3.2e-05,6249.747925,6251.148291,185.389801,198.0610657,7.882070935,7.81793201,11132.80467
28.32794962,28.01180186,0.152745223,0.141452084,3.967959756,3.921743232,0.021395368,0.019803751,5937.915283,5938.657495,1.052537873,1.052375877,0.268787497,0.200015216,4.3e-05,3.2e-05,6249.880725,6249.69989,185.4588257,198.0303223,7.921135771,7.780963612,11128.45946
27.88983479,28.03174357,0.150326944,0.141574764,3.904742897,3.925472623,0.021046667,0.019825661,5938.667297,5940.02926,1.052456844,1.05230046,0.268737994,0.199958434,4.3e-05,3.2e-05,6250.19104,6250.69552,185.5278503,197.9995789,7.89783839,7.743321252,11131.98548
27.96358733,27.99361715,0.150668417,0.141404161,3.914313394,3.918225545,0.021090406,0.019792133,5937.712415,5939.088257,1.052534607,1.052469279,0.268815179,0.200075218,4.3e-05,3.2e-05,6249.647803,6250.707935,185.596875,197.9688354,7.87440064,7.72515974,11126.68453
27.87841921,27.97597237,0.150219661,0.141024958,3.902164441,3.918231535,0.021026365,0.019751536,5938.329736,5939.895959,1.052739466,1.052288629,0.268874639,0.200042401,4.3e-05,3.2e-05,6251.514075,6250.484973,185.5843567,198.3760376,7.850339365,7.687907958,11124.7015
28.09571319,27.9743475,0.151400737,0.140727898,3.93574779,3.916200376,0.021208756,0.019700858,5936.94679,5939.182666,1.052604934,1.052411621,0.268600247,0.19978771,4.3e-05,3.2e-05,6249.259485,6250.464856,185.5718384,198.7832397,7.832111561,7.669598389,11131.2505
28.17603412,27.99488015,0.15184381,0.140543291,3.941747588,3.916964179,0.02124252,0.019664418,5935.530725,5937.28717,1.052953231,1.052764971,0.267042616,0.198354128,4.27e-05,3.17e-05,6249.836255,6250.567957,185.5593201,199.1904419,7.830411243,7.649872804,11129.09394
27.67815614,28.00629907,0.147306721,0.141261994,3.874739695,3.919074547,0.020621865,0.019767563,5938.867786,5938.882141,1.052503049,1.052381312,0.264511533,0.195714682,4.23e-05,3.13e-05,6250.676453,6249.968579,187.8947266,198.2578491,7.863546968,7.635016477,11130.68057
28.24394174,28.00201735,0.148472491,0.141907923,3.954752034,3.919631994,0.020789304,0.019863813,5937.640723,5939.21748,1.052647566,1.052482987,0.26193137,0.193114493,4.19e-05,3.09e-05,6250.243054,6250.925354,190.2301331,197.3252563,7.873181164,7.631936789,11142.16403
28.08276868,27.99886403,0.145834861,0.142565733,3.929986054,3.919152588,0.020408564,0.019955698,5938.985022,5938.53197,1.052531685,1.052582767,0.259522028,0.190857756,4.15e-05,3.05e-05,6250.96991,6250.796411,192.5655396,196.3926636,7.860411036,7.623597276,11138.14659
27.82305512,28.01166472,0.146646104,0.142396065,3.895804834,3.921687907,0.020533496,0.019935728,5937.345044,5939.347131,1.052663874,1.052562941,0.257014175,0.188337327,4.11e-05,3.01e-05,6250.028638,6251.536682,189.729248,196.7165649,7.853341651,7.619583356,11143.58562
28.19782434,28.00468554,0.15087687,0.14212657,3.946120572,3.919932711,0.021114335,0.019894049,5938.323596,5937.095679,1.052588548,1.052518815,0.254512838,0.185770933,4.07e-05,2.97e-05,6250.611414,6248.904907,186.8929565,197.0404663,7.852265429,7.621519387,11133.75029
