iter	Passed	Remaining
634	16512	6891
635	16538	6865
636	16564	6839
637	16590	6813
638	16617	6787
639	16642	6761
640	16669	6735
641	16695	6709
642	16722	6683
643	16749	6658
644	16775	6632
645	16801	6606
646	16827	6580
647	16853	6553
648	16879	6527
649	16905	6502
650	16932	6476
651	16958	6450
652	16983	6424
653	17009	6398
654	17035	6372
655	17062	6346
656	17088	6320
657	17115	6294
658	17141	6268
659	17167	6242
660	17194	6217
661	17220	6191
662	17247	6165
663	17273	6139
664	17300	6113
665	17326	6087
666	17352	6061
667	17378	6035
668	17404	6009
669	17431	5983
670	17457	5957
671	17483	5931
672	17509	5905
673	17535	5879
674	17562	5854
675	17587	5827
676	17613	5801
677	17640	5776
678	17666	5749
679	17692	5724
680	17718	5697
681	17743	5671
682	17769	5645
683	17795	5619
684	17821	5593
685	17846	5567
686	17871	5541
687	17896	5514
688	17922	5488
689	17948	5462
690	17973	5436
691	17999	5410
692	18024	5384
693	18050	5357
694	18075	5331
695	18103	5306
696	18130	5280
697	18156	5254
698	18183	5228
699	18209	5202
700	18236	5177
701	18263	5151
702	18290	5125
703	18316	5099
704	18343	5073
705	18369	5047
706	18397	5022
707	18423	4996
708	18451	4970
709	18478	4945
710	18505	4919
711	18532	4893
712	18558	4867
713	18585	4841
714	18612	4815
715	18639	4790
716	18666	4764
717	18693	4738
718	18721	4712
719	18748	4687
720	18775	4661
721	18802	4635
722	18829	4609
723	18855	4583
724	18883	4558
725	18910	4532
726	18937	4506
727	18964	4480
728	18991	4454
729	19018	4428
730	19045	4403
731	19072	4377
732	19099	4351
733	19126	4325
734	19153	4299
735	19180	4273
736	19207	4248
737	19234	4222
738	19262	4196
739	19290	4171
740	19317	4145
741	19345	4119
742	19372	4093
743	19399	4067
744	19426	4041
745	19466	4018
746	19494	3992
747	19520	3966
748	19548	3940
749	19575	3915
750	19602	3889
751	19629	3863
752	19657	3837
753	19683	3811
754	19709	3785
755	19736	3759
756	19763	3733
757	19790	3707
758	19818	3681
759	19844	3655
760	19872	3629
761	19899	3603
762	19926	3577
763	19952	3551
764	19981	3526
765	20008	3500
766	20035	3474
767	20062	3448
768	20090	3422
769	20117	3396
770	20143	3370
771	20171	3344
772	20198	3318
773	20226	3292
774	20253	3266
775	20281	3240
776	20308	3214
777	20335	3188
778	20363	3162
779	20390	3136
780	20417	3111
781	20444	3084
782	20472	3059
783	20499	3033
784	20526	3007
785	20553	2981
786	20580	2954
787	20607	2929
788	20635	2903
789	20661	2876
790	20688	2850
791	20715	2824
792	20742	2798
793	20769	2772
794	20797	2746
795	20825	2720
796	20852	2694
797	20879	2668
798	20906	2642
799	20933	2616
800	20961	2590
801	20987	2564
802	21013	2538
803	21040	2512
804	21075	2487
805	21101	2460
806	21128	2434
807	21155	2408
808	21181	2382
809	21208	2356
810	21233	2330
811	21260	2304
812	21285	2277
813	21310	2251
814	21335	2225
815	21360	2198
816	21385	2172
817	21412	2146
818	21437	2120
819	21461	2093
820	21487	2067
821	21512	2041
822	21541	2015
823	21567	1989
824	21593	1963
825	21618	1936
826	21646	1910
827	21671	1884
828	21696	1858
829	21722	1832
830	21748	1805
831	21773	1779
832	21798	1753
833	21824	1727
834	21851	1701
835	21877	1674
836	21902	1648
837	21928	1622
838	21954	1596
839	21980	1570
840	22005	1543
841	22034	1517
842	22061	1491
843	22089	1465
844	22116	1439
845	22144	1413
846	22171	1387
847	22199	1361
848	22226	1335
849	22251	1308
850	22278	1282
851	22304	1256
852	22329	1230
853	22356	1204
854	22382	1178
855	22407	1151
856	22433	1125
857	22459	1099
858	22485	1073
859	22511	1047
860	22536	1020
861	22561	994
862	22587	968
863	22613	942
864	22638	916
865	22664	889
866	22690	863
867	22720	837
868	22745	811
869	22771	785
870	22803	759
871	22827	733
872	22853	706
873	22878	680
874	22906	654
875	22930	628
876	22957	602
877	22983	575
878	23008	549
879	23034	523
880	23062	497
881	23089	471
882	23117	445
883	23144	418
884	23172	392
885	23199	366
886	23227	340
887	23254	314
888	23285	288
889	23312	261
890	23339	235
891	23366	209
892	23394	183
893	23422	157
894	23449	131
895	23476	104
896	23503	78
897	23530	52
898	23558	26
899	23585	0
